SampleIDname,Propanal,Ethyl acetate,2-BUtanone,2-Methyl-3-buten-2-ol,1-Propanol,Hexanal,2-Methyl propanol,Pyridine,3-Methyl-2-butenal,"2-Hexenal, (E)-","1-Butanol, 3-methyl-","3-Buten-1-ol, 3-methyl-",3-Hydroxy-2-butanone,3-Methyl-2-buten-1-ol,"2-Pentanone, 4-hydroxy-4-methyl-",1-Hexanol,"2-Hexen-1-ol, (E)-",Acetic acid,Benzaldehyde,2-Methyl propanoic acid,"2,2-Dimethyl propanoic acid",Butanoic acid,3-Methyl butanoic acid,Pentanoic acid,"2-Butenoic acid, 3-methyl-",Hexanoic acid,Benzyl alcohol
Orange_RS_B3_R46_T3,1.529088351,3.081323001,39.71323825,2.072824232,17.99947058,22.99809029,0.107125584,0.039430614,7.176494022,73.32550351,70.75096957,13.3068977,136.7725575,63.80698792,8.563635264,39.11724759,219.5627226,6.869344009,88.34405113,2.163393437,13.39477727,1.765586286,3.019785986,0.446438506,1.389333989,0.632108522,44.03702983
Orange_RS_B4_R10_T5,4.995471968,2.550904482,41.12410999,1.074669862,21.12828439,41.80425942,0.143095239,0.175681983,8.826715129,69.98693089,28.73821592,9.152479782,56.92712319,29.30448007,10.93040177,25.28878789,175.7058012,9.757383332,171.4287499,2.361286699,16.72370773,1.08733605,1.910467586,0.839092759,0.688465822,0.747101465,41.50611667
Orange_RS_B5_R23_T7,1.87852943,3.92831823,18.60823437,0.73642281,7.847809296,34.61023022,0.129452425,0.06622143,4.186337277,89.28632014,85.9673255,4.588496097,25.8796174,21.13671018,7.516995892,21.80519187,127.6808638,13.35643451,101.9091512,1.995987773,20.81178132,1.012035057,1.292519029,0.602475619,0.81559532,0.569855576,72.39098938
Mudgee_RT_R18_T22,2.355290201,8.621550582,48.93017374,0.824678892,21.39692183,7.082614097,1.988157749,5.831656875,11.27472655,1.985643672,6.804731042,10.98120563,59.1347395,52.89199121,19.96853416,10.18919146,25.93044118,18.14738124,324.1588617,9.810766762,51.82970728,5.712297829,55.59966921,6.874041294,7.698580614,8.30048802,83.61222201
Mudgee_RT_R24_T2,4.397072599,1.017829176,13.4563341,1.517264377,19.90063886,8.572857191,10.07054794,0.017881331,10.25832525,1.908736307,13.60563254,13.748859,166.496675,38.17894324,11.08862447,12.03897787,7.227833293,82.95228587,320.1756173,14.73241974,27.65700786,4.154341802,19.4635353,2.435187495,0.946554503,0.781251005,434.8042844
Mudgee_RT_R24_T3,2.580400569,2.584758349,29.79639646,2.087232342,17.806038,8.681619097,1.097920615,0.030298804,8.339880144,3.044371052,8.062114557,18.16919234,157.9035021,42.03359768,13.53309404,25.74938102,16.65746361,10.47094967,188.8920807,5.020644479,22.55494754,0.608345195,11.17919609,1.051826891,2.335319798,0.491409443,61.86158702
Mudgee_RT_R4_T5,2.124147655,28.66958519,23.88557013,1.063036235,40.58101069,4.032767003,2.851241715,0.049430875,7.02526597,1.506559024,32.05323668,6.778717174,209.4638952,34.42908621,14.79524816,6.086449862,21.77024195,275.4704549,130.8440767,7.082632758,22.48367252,1.150754626,15.96260733,1.283952067,1.992212924,3.037035405,101.1059633
Mudgee_RT_R18_T20,3.58666356,1.385923739,8.035480735,9.350864625,18.37022398,3.285850041,0.431089028,0.006671401,5.209991478,2.833118299,2.557659487,6.170447143,30.59705278,24.9185182,10.11006378,5.736729522,15.90273541,12.11723069,102.8460919,8.495660212,24.25118151,2.262675352,29.0326141,0.851071744,3.786520887,0.555065413,58.951534
Mudgee_RT_R18_T21,2.194270725,1.725914782,17.51893112,1.19755143,29.65867988,2.523261788,0.116231102,0.080242131,4.862642686,2.623866804,1.328916785,8.8839405,70.76491848,21.45243988,14.02613625,3.951451865,18.21164083,6.961328624,155.2928171,4.960248872,22.36806644,2.166410414,21.95001494,1.427126506,4.351285789,0.828133753,241.7333562
Mudgee_RT_R24_T1,2.097967549,2.651519885,17.41390885,1.316020663,17.8673234,7.385609663,2.878981361,0.021073898,8.680835142,3.276667086,10.01638306,22.38311179,165.2275056,83.75697853,17.04180927,12.90535703,9.259869908,48.38034828,350.7539596,10.20242091,25.93329405,4.02750115,22.29120966,2.160025457,1.667772594,0.924983074,1261.845427
Mudgee_RT_R4_T3,2.448954194,68.94584601,68.94584601,0.836974537,70.22999747,2.878072571,40.1320008,0,5.524810069,1.889595982,47.17129165,9.261370742,173.0590533,36.55133649,10.84190467,6.181117805,12.6841942,633.1457237,171.9150457,29.25210965,43.92713064,2.731568548,74.59192224,2.502244211,5.436153215,2.296839528,96.28100012
Mudgee_RT_R4_T4,3.015258962,8.436927255,11.10410852,9.499302351,72.41149816,1.766104323,37.89750129,0.003503434,2.786023226,2.094316899,47.0999578,4.029332549,93.54933702,14.11379223,3.999070308,5.163911627,9.705883612,175.8006051,110.3944707,11.27337573,31.91140451,2.43376553,19.70241002,2.321464139,1.883530091,2.07381797,71.84624335
Young_SF_B5_R4_T1,1.755864576,13.12934626,7.833410747,1.487813,3.338811211,5.787990781,0.051860583,0.023569682,3.555202099,10.33437061,3.65770821,4.368443869,26.75329464,37.8430464,2.835133912,1.132109964,5.781744057,20.80508173,125.350097,2.820323064,10.85289059,1.352491662,9.045413056,0.37320373,0.859710949,0.407578089,106.3630237
Young_SF_B5_R6_T61,3.522153361,6.447442754,8.608396727,1.221912666,3.755065024,6.204976114,0.077070851,0.02148914,3.153429696,2.138901693,0.148328068,6.559409331,30.75516092,42.10458931,9.32692323,0.234143678,1.751174626,3.726294395,39.26321103,1.228770578,9.200517727,0.519711412,2.604981074,0.359608864,0.269749855,0.15834778,15.09513275
Young_SF_B6_R30_T15,2.138535299,23.85450889,23.74236788,2.055374917,3.969438038,3.489414232,0.071913209,0.027320502,2.156958532,4.371490519,3.916117587,2.681717255,15.60197015,46.96395443,21.36764564,0.573374698,6.500198203,3.235340831,91.46152226,1.576842756,13.60028974,0.127375028,1.909131616,0.361319221,0.610321622,0.865701508,27.92531427
Young_SF_B8_R35_T1,2.607222502,3.625757309,12.47458851,1.616616037,1.643094708,5.343248755,0.044676108,0.027258436,1.220663348,8.591690506,8.367792633,4.118580629,6.071164209,32.35767119,18.83340197,0.168476927,9.595014416,2.85961013,49.67196288,1.086328345,15.8869769,0.622183648,4.393919746,0.234411036,0.383960322,0.2148858,65.95879786
Young_SF_B5_R5_T29,2.035267547,2.543989336,17.36867686,0.76383281,2.809827385,6.393732661,0.035255817,0.11388029,2.162060983,13.07074247,12.43321275,2.705066567,21.08542492,22.62232235,6.150263364,1.533077238,11.47202237,3.733199686,51.39423112,1.083466192,11.78887527,0.403732212,5.825679546,0.308829871,1.097721284,0.443767186,22.59955238
